Count,Country
23090171,FR
8659185,SE
7911559,US
5783175,DE
5736500,GB
5455098,NO
3568654,MX
2620465,CA
2248474,JP
2127612,BE
1830093,LU
1640946,AU
1119676,ZA
999976,KR
729832,BR
695813,TW
601569,DK
594979,NL
583161,NZ
471522,ES
408801,EE
357524,CO
142362,NC
130583,MZ
126405,AT
125351,SK
121597,VE
78597,
69519,RU
65660,IE
58441,CI
47102,GH
37033,TG
34497,IT
33422,TZ
24412,CM
22764,UG
20914,TT
20528,MG
16067,GN
15431,BJ
14052,AR
13318,ZW
11300,KE
7607,WS
7187,PT
6271,BW
5469,PK
4973,CD
4512,LR
4460,FJ
3460,CL
2336,UA
2264,SN
1959,BG
1370,AO
1144,NG
843,SR
761,BB
585,ZM
521,TH
495,UZ
393,MW
345,SB
343,RW
261,VU
243,GR
201,JM
139,TO
128,WF
61,SS
51,PG
23,HU
16,PW
14,FM
