Count,Country
29531297,NL
23784903,FR
14657581,DE
14284814,GB
13811002,US
10950300,ZA
9262582,SE
6251581,NO
5345044,AU
4025780,MX
3427854,JP
2960061,CA
2499800,PT
2335520,BE
1766707,LU
1657460,ES
1123666,CO
1058564,BR
999976,KR
958495,FI
853174,TW
632203,DK
612429,NZ
428456,EE
358406,RU
259467,AT
188147,VE
175708,
142362,NC
130940,MZ
125351,SK
81809,IE
68685,GH
61790,TG
60823,CI
44783,IT
44405,CM
37766,KE
33422,TZ
28963,AR
27319,GN
26689,MW
25836,NG
22856,UG
22168,ZW
21498,TT
21024,BJ
20087,AO
19085,EC
18562,BG
15588,MG
15583,PK
12639,BW
11211,JM
7607,WS
7581,GR
6926,SN
5304,CL
5124,FJ
5039,SR
4973,CD
4512,LR
3761,TO
2827,SB
2336,UA
1558,ZM
1426,BB
1270,VU
1040,MU
796,IR
620,RW
521,TH
495,UZ
489,NE
263,SO
128,WF
65,PL
61,SS
51,PG
23,HU
16,PW
14,FM
