Count,Country
23382891,FR
13519494,DE
12683465,US
10673178,ZA
9253615,SE
6455901,GB
5642697,NO
4217580,AU
4025780,MX
2901851,CA
2468879,JP
2417804,PT
2333101,BE
2111541,NL
1588450,LU
999976,KR
917830,CO
793938,BR
788927,ES
736450,TW
626592,DK
596243,NZ
426441,EE
295528,
258370,RU
148639,AT
142362,NC
130930,MZ
125351,SK
121597,VE
71578,IE
61790,TG
58441,CI
51512,GH
44405,CM
34779,IT
33422,TZ
28113,AR
23336,KE
22856,UG
21498,TT
20973,ZW
20528,MG
19310,MW
18664,BJ
17493,GN
12153,PK
10761,AO
8337,BG
7607,WS
6926,SN
6271,BW
5978,NG
5366,GR
5124,FJ
4973,CD
4512,LR
3800,CL
3414,SR
2827,SB
2336,UA
1426,BB
1224,VU
1040,MU
585,ZM
521,TH
495,UZ
489,NE
343,RW
261,SO
201,JM
139,TO
128,WF
65,PL
61,SS
51,PG
23,HU
16,PW
14,FM
