Count,Country
23272733,FR
8801272,SE
8394617,US
6237631,DE
5759485,GB
5577412,NO
4025780,MX
2892148,CA
2248474,JP
2127612,BE
1828031,LU
1640946,AU
1119676,ZA
999976,KR
740487,BR
696825,TW
605665,DK
595380,NL
586646,NZ
471611,ES
435713,CO
409018,EE
142362,NC
130583,MZ
128296,AT
125351,SK
121597,VE
92269,RU
78597,
65660,IE
61790,TG
58441,CI
47102,GH
34497,IT
33422,TZ
24412,CM
22764,UG
20914,TT
20528,MG
17493,GN
15431,BJ
14989,ZW
14052,AR
11300,KE
9107,PT
7607,WS
6568,MW
6271,BW
5469,PK
4973,CD
4512,LR
4460,FJ
3460,CL
2336,UA
2264,SN
1959,BG
1370,AO
1144,NG
843,SR
761,BB
585,ZM
521,TH
495,UZ
489,NE
345,SB
343,RW
261,VU
243,GR
201,JM
139,TO
128,WF
61,SS
51,PG
37,MU
23,HU
16,PW
14,FM
