Count,Country
137201940,US
22916023,CA
16042918,GB
7069594,IN
6968886,AU
6927069,FI
3937688,ES
3681899,DK
3499124,DE
3443740,NL
3075497,SE
2753330,CR
2691889,MX
2579860,BR
2556576,CO
1939995,PT
1759936,NO
1632412,BE
1630430,AR
1612784,ZA
1411300,BZ
1360891,TW
1168537,EC
1072589,PE
929375,PA
772621,NZ
760746,GT
718672,CL
641008,FR
564835,HN
564632,TH
495917,JP
434972,EE
404766,CN
385908,KE
368604,MY
354176,CH
323601,VE
317565,CU
300280,TR
239326,IL
221300,PR
220665,SG
217624,TZ
216985,AE
216879,ID
214287,TT
200632,UG
194120,IS
183046,IE
177587,GR
171805,KH
157002,NI
155463,SV
154601,IT
154104,RU
152237,BO
151476,UY
151403,BS
151317,PY
147658,HK
135523,PH
135131,LK
124669,RS
118383,CZ
104736,BG
104017,ET
101920,NA
101717,AT
101652,NP
97956,MG
93235,GY
91862,MZ
91578,KR
90988,MA
87545,HU
81569,AZ
77090,BW
76729,GH
76092,PL
75862,VN
71381,BT
64499,BJ
62823,SN
61743,GA
61367,JM
61093,UA
55452,DO
55418,CW
54767,ZW
53078,KW
50232,PG
47424,AO
46445,MM
45955,EG
45047,AW
44013,IR
42592,GM
42587,ZM
41956,BM
40606,HR
38034,SR
36195,IM
35488,NG
35397,KY
34617,GP
32593,LU
32101,GF
30462,IQ
29635,OM
28772,BB
28474,RO
28261,CM
26852,PK
26047,SI
24907,PW
23052,BY
21104,GE
20690,VI
20588,FK
18681,CY
18230,CI
17017,MN
16475,HT
16089,RW
15719,KZ
15128,BQ
13974,MK
12978,SK
12399,TN
11906,FJ
11415,AQ
11192,LC
11114,MD
11038,BD
10595,MW
10566,LV
10563,LT
9998,UZ
9770,LA
9707,DZ
9588,SA
9573,UM
9372,AI
9086,PS
8756,GD
8678,SB
8670,SZ
8329,SJ
8187,GS
8061,TC
7886,
7717,AM
7684,FO
7615,TL
7316,MR
7082,MF
7027,DJ
6824,CD
6284,NF
5741,MT
5609,VC
5455,AG
5248,KG
5189,NC
5158,QA
4997,KN
4975,JO
4926,CV
4717,BA
4669,MQ
4626,MP
4577,PF
4006,ME
3997,MS
3952,ML
3908,SC
3730,LB
3658,DM
3563,ST
3452,GN
3437,SX
3211,AL
3090,LS
3038,LR
2794,BI
2725,GL
2703,EH
2502,GU
2478,JE
2324,SL
2308,VU
2248,GQ
2215,MU
1884,AS
1710,VG
1634,GI
1549,AF
1512,AD
1499,FM
1433,BF
1410,MO
1135,GG
1131,RE
1108,BH
1050,WS
1049,SH
1043,PM
987,TF
981,CG
978,GW
966,BN
898,LI
873,CX
841,SD
774,CC
727,TM
725,LY
667,YE
632,KP
607,IO
551,KI
524,CF
508,KM
476,VA
474,TJ
473,CK
409,NE
400,TG
342,TO
321,SY
298,MC
294,TD
286,MV
263,SS
221,BL
198,YT
178,MH
162,NU
152,SO
133,PN
106,WF
68,SM
55,BV
52,HM
34,ER
8,NR
5,ZZ
4,TK
2,TV
