Count,Country
482913030,US
99358210,GB
84901398,SE
81804224,AU
65634579,FR
64887821,CA
58002955,NL
47018927,DE
30932654,ES
30798283,DK
30097789,NO
28554535,FI
24710253,BE
23961492,ZA
12938722,MX
12161701,IN
11389097,BR
10270770,CO
9651135,CR
7473071,JP
7095889,PT
5613514,NZ
4583895,TW
4281188,AR
4002856,
3848359,AT
3561292,EE
2830693,EC
2662072,KR
2501217,PE
2329615,CH
2319225,BZ
2261740,PA
1841005,PL
1824720,CN
1806547,LU
1795482,RU
1724683,CL
1518885,IE
1375777,HN
1323013,GT
1224980,IL
1124618,VE
1055718,TR
1005380,IS
987768,TH
984728,KE
894630,MY
809543,PR
676533,AE
606705,CU
585822,IT
564503,NI
532759,TZ
521919,TT
443323,UG
420577,BJ
390653,PY
382049,ID
375645,BO
371781,SV
341292,BS
314028,KH
311604,SG
308385,GH
306145,RS
303555,SI
302093,GR
295135,HK
288367,PH
271891,HU
260967,SK
258617,MZ
253813,UY
252715,JM
242250,LK
231178,MG
227974,BG
224208,NA
205880,ET
204116,BW
196040,KW
188316,NC
181634,MA
181023,NP
179117,DO
168662,GY
168591,VN
166096,PG
164221,BM
157247,CZ
151240,ZW
133813,GP
131083,IR
123636,BT
119944,CI
115770,UA
115598,GM
113290,AD
112225,CM
101386,SN
94251,KY
93210,ZM
90035,OM
87301,HR
84475,AZ
83159,AW
82177,EG
81879,VI
77562,MM
76273,AO
73156,GA
73067,NG
70761,MW
70247,SR
69506,IM
68813,TG
67583,CW
54151,BB
51745,RO
49554,CD
48873,FJ
45746,PK
43832,BQ
42793,SA
41981,KZ
41363,PW
40202,GN
39437,IQ
39285,GF
38311,CY
38031,HT
36800,RW
34749,FK
34384,MK
33453,MN
29640,AQ
29392,BY
28537,LC
26831,BF
26779,VU
25802,LV
25779,GE
24373,MS
24258,QA
22015,TC
21644,MF
21420,TN
19619,GS
19520,JE
19491,TL
19394,LT
19098,GD
18675,SJ
18602,SB
18586,DZ
18538,AI
18441,UZ
17945,DM
17824,UM
17741,LY
16669,SZ
16483,MD
16424,LA
16069,WS
15971,FO
15872,LR
15701,GQ
14767,AG
13733,VG
13249,PS
13190,NF
13060,MP
12870,MR
12791,JO
12715,BD
11587,VC
11371,DJ
10784,CV
10682,SC
10434,KN
10171,AM
10081,BA
9985,PF
9405,ME
9374,AF
9232,SX
9225,MQ
8412,ST
8074,LS
7535,MU
7317,GU
7254,KG
7160,MT
7063,TO
6226,SL
5956,ML
5488,EH
5145,GL
5031,AL
4776,BH
4719,LB
4312,GG
4242,IO
4169,TF
3824,BI
3801,NE
3750,CF
3663,AS
3344,SD
3281,BN
3202,GI
3187,CG
3084,CX
3064,FM
2846,RE
2690,TD
2573,CK
2273,GW
2188,MO
2109,MH
2082,YE
2067,SO
2051,PM
1843,SS
1820,SH
1802,CC
1780,TM
1535,SY
1498,KI
1471,LI
1121,MC
1098,KP
1046,VA
947,BL
853,ER
836,KM
822,TJ
504,MV
417,YT
352,WF
272,NU
251,PN
184,SM
179,ZZ
156,HM
84,BV
24,TK
16,NR
8,TV
