ISO,Records,Downloads,Users
US,88721895044,12724,1495
MX,199806202701,11744,1686
IL,341470552,10111,16
BR,112531673166,7976,769
DE,10053188929,5304,250
CN,59984122057,4648,479
GB,34073000582,4286,658
CO,76301570623,3817,622
ES,31314742500,3241,613
CL,17164870971,2541,154
DK,6253940857,2200,52
NL,2365679421,1912,75
EC,29853922946,1800,271
AU,6498141587,1596,188
IN,13940023061,1384,141
CA,13809196966,1355,246
FR,8543472663,1218,179
PE,29688255421,1086,193
AR,8921025733,1073,157
BE,512804547,823,94
IT,3248480615,817,104
ZA,24214013858,788,191
NZ,4111675106,681,95
PT,9210534551,566,128
CH,4071585331,482,45
EG,2001801632,399,29
BJ,12026839015,369,49
RO,4837677,328,13
KW,2940,304,1
NO,2181029774,301,64
PY,624614,285,3
FI,1222095042,275,26
JP,6063247867,261,46
IR,5127376051,250,30
SE,2958054924,247,57
CR,5213723302,240,57
RU,4950815380,233,62
TW,3265255788,225,54
PH,8583821366,219,46
PL,1966963299,210,48
GT,1958411283,179,59
KR,8117536640,173,47
BO,1010003148,165,28
CZ,1032101413,161,22
PK,2518175,157,8
MY,7243490,144,14
DZ,63342124,143,4
TH,80729249,132,12
MZ,20385319517,98,8
IE,15960189,92,17
GR,1884628188,87,25
VE,3021655829,87,24
NP,1953623853,83,19
AT,20384238,82,25
ID,1987697330,80,30
TR,2879167974,65,25
BN,1102466,60,5
CI,5360351,59,8
SZ,25405768,59,3
PA,1006634448,54,16
HU,1004996911,52,13
ZW,567977,50,7
CM,2948760628,49,11
MG,992959234,48,15
KE,1032369522,44,20
HK,13784784,43,18
LK,6357521,39,9
UG,989813411,36,8
UA,4660461,34,10
CU,10105132,32,8
SN,22752,31,2
GH,1033754088,30,8
SG,58548744,28,14
TD,979858555,28,1
RS,895711183,26,6
BW,24304592,25,4
EE,586883321,25,9
LT,1446155,25,6
TT,1993795600,25,9
TZ,985242379,25,14
HT,36795214,24,1
TG,1192252148,22,5
NE,3565,22,18
MW,4423153,21,6
NG,1974914252,21,6
VN,13683270,20,13
HR,988068801,18,6
TN,23556721,18,8
ET,982777276,18,9
UY,987318476,17,8
ZM,68369,17,4
MA,990617927,17,9
AL,35925,16,3
AE,2275765,16,5
MN,419851,15,6
LU,54899244,15,10
NC,965628882,13,5
BG,986708668,13,6
SK,85177,13,4
MU,255434,12,2
BF,1677686,12,4
SV,3950936802,12,5
GF,28257,10,4
PR,1974913726,10,6
AO,95920,9,4
AF,1924434579,9,2
DO,1411,9,3
LB,31668,9,2
IS,215137825,8,4
ZZ,7919177083,8,1
GY,23012,7,2
NI,639435,7,2
SI,890086928,6,3
NA,7128,5,1
HN,890158776,5,2
RW,736324,5,1
BI,17052,5,1
WF,5656425,4,1
GA,1329,4,1
KG,30289,4,2
KZ,8168,4,3
BA,74150,3,3
JM,32927,3,1
WS,1560445,3,2
SA,400432,3,2
LR,231363,3,2
GN,2579,2,1
MM,1011161164,2,1
MQ,42,2,1
GU,55681,2,1
GE,299,2,1
FJ,164,2,1
CV,21411,2,1
CD,13030,2,1
AD,890034798,2,1
UM,1851,2,1
VU,68,2,1
YE,194638,2,1
AM,35322,1,1
SR,280,1,1
UZ,38,1,1
CY,760,1,1
SD,28588,1,1
ME,18208,1,1
LV,1,1,1
LA,4,1,1
LY,8189,1,1
MT,1189,1,1
BY,9220,1,1
SY,1829,1,1
MK,47682,1,1
