ISO,Records,Downloads,Users
US,88593855270,20454,2202
MX,172652836918,19555,2397
BR,104002071233,12331,1087
IL,342573345,10131,20
CO,70134784651,6374,987
DE,11473336835,6240,339
CN,53172045825,6223,613
GB,32595186560,5258,804
ES,33234158331,4224,879
CL,16532954911,3165,244
ZA,23724220433,3140,322
DK,4906697031,2230,64
IN,13869382865,2108,210
EC,26194406296,2107,297
NL,1444881272,2021,101
AU,7244569259,1954,241
PE,26938038149,1846,294
CA,15627309910,1794,366
BE,770989567,1707,135
AR,7453969728,1618,219
GT,3188725003,1500,82
FR,9440263367,1451,248
IT,3679294796,963,145
NZ,4004569345,931,131
PT,9002956883,825,150
CH,3061097527,677,66
EG,2725660638,467,35
BJ,10322576236,458,57
PY,971312,423,6
BO,1032404914,421,34
RU,4962006148,406,87
TW,3645754280,398,66
CR,6494274578,390,89
IR,5903109247,378,51
NO,2264478631,359,83
RO,4964444,338,17
JP,2803839264,334,71
SE,4470046633,318,76
KW,2940,304,1
PH,9702398107,294,64
FI,287152618,294,30
PL,2299620014,260,60
MY,251486648,232,23
CZ,1032273242,219,30
KR,8134866898,214,56
ID,1993722666,184,43
PK,9176784,183,16
TH,97778936,151,23
DZ,63350924,149,7
VE,3024388635,127,31
IE,16704452,126,24
GR,921183832,122,30
NP,978344512,119,29
AT,24637985,118,35
MZ,21310452985,116,9
TR,2901301646,106,39
KE,291003093,94,32
EE,604103657,84,12
CM,2953332906,76,12
ZW,1795126,70,14
CI,5492165,67,10
PA,1007845891,64,18
BN,1184950,64,7
HU,1005715182,61,16
SZ,25405768,59,3
UY,987511498,55,18
ET,1740929253,54,12
UA,4726313,49,12
MG,992959430,49,15
GH,1038013379,49,11
SG,58870393,49,18
UG,990559910,48,16
LK,6881839,45,12
HK,13930897,44,19
PR,1976808481,37,14
CU,11660957,37,9
TT,1016821342,37,11
SN,92479712,34,3
TZ,368038011,33,15
NG,1974994945,31,10
RS,896117039,30,8
AO,105743,29,16
TG,1192703461,27,6
TD,14102128,27,1
VN,13883861,27,16
BW,24304974,26,4
LT,1446155,25,6
HT,36795214,24,1
LU,54995587,23,12
AE,2584964,23,6
MU,270668,23,3
NE,4648,23,19
TN,26968002,22,10
MW,4424193,22,6
ZZ,19920694098,20,1
GF,33647,19,6
SK,159192,18,5
HR,988068801,18,6
LB,1838549,18,6
AL,35927,17,4
ZM,68369,17,4
MA,990617927,17,9
BG,986722162,16,8
SV,3951291697,16,7
MN,419851,15,6
NC,270548,13,6
NI,2633298,13,3
BF,1681991,13,5
DO,3381,12,4
AD,890120191,11,3
IS,215582891,10,6
SA,844389,9,7
AF,957588630,8,2
NA,9769,7,2
YT,45844,7,1
RW,737010,7,3
SI,890094770,7,4
GY,23012,7,2
PG,368,6,1
KH,372942,6,1
HN,890158776,5,2
MM,1011238465,5,2
LR,231997,5,3
BB,5947,5,1
BI,17052,5,1
BY,12834,5,3
JM,27794628,5,2
KG,30289,4,2
KZ,8168,4,3
WF,5656425,4,1
AZ,334033,4,2
GA,1329,4,1
GN,20072,4,1
SR,48411,4,3
SD,141355,3,1
MT,293086,3,2
LY,39958,3,1
BA,74150,3,3
WS,1560445,3,2
YE,194890,3,2
CV,21411,2,1
CD,13030,2,1
AQ,16371,2,1
VU,68,2,1
RE,438,2,1
GE,299,2,1
MQ,42,2,1
UM,1851,2,1
PS,137313,2,1
GU,55681,2,1
FJ,164,2,1
IM,58,2,1
SY,1829,1,1
GP,1629,1,1
IO,5095689,1,1
SC,124457,1,1
CY,760,1,1
BT,77,1,1
BD,361429888,1,1
UZ,38,1,1
LA,4,1,1
LV,1,1,1
AM,35322,1,1
ME,18208,1,1
MK,47682,1,1
