ISO,Records,Downloads,Users
US,6046709977,3052,647
MX,11427414244,2694,622
CN,15002871865,1501,191
GB,203451166,1456,322
ES,3944419289,1413,297
CO,3323938990,1400,271
BR,2649190633,1217,256
CL,1234922466,1151,67
BE,150988216,696,42
DE,773642648,444,103
IN,3034884512,333,98
AU,1007369307,319,48
CA,1599442202,296,111
FR,1108216278,284,104
EC,51205097,283,51
PT,159516379,265,70
CM,281765,241,2
IR,7606148836,239,25
VN,7504152,211,7
IT,1478819996,198,47
CZ,50670506,197,16
BJ,639279667,177,38
NZ,127873691,171,37
AR,117840927,169,47
GT,34902882,167,31
ZA,286062604,163,57
NO,224454978,156,40
NL,159099673,129,47
KR,287411848,127,16
CR,851549936,115,27
DK,170959805,91,24
VE,9716455,83,10
RU,303205435,80,28
TR,254712241,74,19
BO,30900445,64,14
GH,13191453,62,5
KW,504879,60,2
PL,13696160,55,11
PE,7894213,55,21
MG,233109,48,3
SG,641197,48,6
SE,141436880,48,26
CH,35204581,48,16
JP,11523332,48,26
TW,517410065,46,20
ID,14993661,40,23
ME,1000032,39,1
DZ,1981417366,38,21
TH,16749017,37,8
PY,10020,37,2
CU,168620,33,3
PH,363458998,31,16
FI,136157109,30,9
GR,2542861,29,9
MZ,25930976,23,3
DO,781952,22,5
HU,309466,21,5
UA,30787,21,11
LT,85159972,21,5
AT,8223827,21,14
ET,2582361,20,4
IL,8262922,19,10
NP,75469,18,5
KE,118049,18,7
IE,65796119,15,7
PK,88625,13,3
HK,220279,12,3
RO,53938,12,4
SN,1152,11,1
EG,6600984,10,4
ZW,361612933,9,6
NE,106826,9,1
CI,537667,8,4
EE,460103,7,4
UG,361429122,6,5
MY,4187534,6,4
MT,35414241,6,4
UY,3416,6,2
BA,356071683,5,1
TT,1085,5,2
TZ,351570,5,3
MA,16310,5,2
MW,5301,5,4
PS,1463830,5,1
NG,10531,4,4
ZZ,4189939528,4,1
BG,558,4,3
SI,3268,4,3
TG,25700,4,2
AM,133239,4,2
ZM,247919,4,3
RS,15015,3,2
BB,1601,3,1
IM,48018,3,1
IS,6782,3,1
PR,2659961,3,2
BF,15414,2,1
LU,170,2,2
CY,140,2,1
GF,4201,2,1
SV,1591,2,1
SA,1290,2,1
BW,982,2,1
LK,128603,2,2
AZ,1205,1,1
WS,5074,1,1
AQ,231,1,1
AO,14958,1,1
PG,72,1,1
RW,2158,1,1
AF,663926710,1,1
XK,380448,1,1
SK,291,1,1
HR,56193,1,1
SR,60163,1,1
ML,1075,1,1
AE,6992,1,1
PA,458,1,1
IO,108,1,1
