ISO,Records,Downloads,Users
MX,29154335745,9308,1469
US,22775650408,7941,1438
BR,6658965650,4326,649
GB,8829501792,3556,639
CN,19881208439,3282,452
CO,10055603242,3271,662
ES,7791345635,3054,701
CL,5106577406,2310,161
ZA,1591540002,1778,186
BE,1102712462,1294,80
DE,11962549065,1114,222
AR,642355306,1015,161
PE,1190641242,982,186
AU,2008530974,888,161
CA,4494701153,865,247
FR,1759902348,802,220
IN,5536694979,724,186
EC,293343567,693,131
VN,12797564,645,19
PT,241677565,634,174
GT,1005779224,479,63
BJ,10815792316,447,76
RU,469771005,440,78
IT,1500650789,413,94
IR,7620358359,369,38
NL,287419572,348,94
NO,391070575,332,73
RO,11843267,309,9
GR,4743158,304,26
CR,2678880595,292,58
JP,37801020,276,53
KR,1279327404,270,40
TH,74286189,267,56
NZ,165599559,265,62
CZ,52651489,264,31
SE,539877884,262,72
CM,333641,250,4
DK,748939317,250,56
TW,533509295,235,57
ID,1629491336,194,85
TR,284448925,176,39
MZ,32452639,158,13
BO,69525471,157,28
UA,189368,145,20
AT,836013515,145,53
SN,538320,144,6
PH,367575429,138,48
VE,20455733,137,19
CH,118096855,126,41
DZ,1981816244,118,28
HK,39409493,113,28
CU,2599119,107,12
PL,14404126,105,27
SG,6107511,93,14
KW,674456,92,2
MG,2205485,85,7
NG,11502989,79,10
SZ,22053034,73,4
DO,10050696,65,10
GH,13191453,62,5
KE,4816239,61,23
UY,10233420,53,8
PY,3507381,51,5
FI,139421078,47,14
PK,22254136,47,7
AF,664146966,44,3
MM,85337,42,5
ET,5014243,40,7
IL,28429182,39,17
PA,151072324,39,2
NP,1689194,39,10
ME,1000032,39,1
HU,356408,38,11
CI,3207273,35,9
IE,95763491,33,14
ZW,361715960,31,12
MY,278849263,28,10
LT,85169625,26,7
NE,872502,22,1
SV,2351131,21,6
CD,2265,20,2
RW,115525,19,6
MA,1588185,18,7
AQ,763671,17,1
EG,23250422,17,8
EE,627549311,16,9
PR,22596064,15,8
ZZ,18229970785,15,1
TZ,2611273,13,8
ZM,277545,12,4
UG,361442593,10,8
LU,73649,9,5
LK,623166,9,3
GF,15865290,9,2
NA,2060467,9,3
HR,108132,9,5
SI,7475,8,5
BF,2742803,8,2
BG,71969,8,5
BA,356099322,8,3
AE,53242,7,3
DM,7498,7,1
MW,5377,7,5
MT,35414241,6,4
IS,103019,6,3
PS,1463932,6,1
GU,17275359,6,2
TG,38320,6,4
BD,13196551,6,2
BW,8431,5,2
AO,412052,5,3
TT,1085,5,2
RS,51620,5,3
RE,2298,4,2
AM,133239,4,2
IO,5771,3,2
SK,9468,3,3
MD,5391,3,1
MQ,703,3,1
BB,1601,3,1
IM,48018,3,1
KZ,10517,2,1
CV,9158,2,1
BT,14318,2,2
NI,3368,2,1
MN,57809,2,2
MO,129,2,1
FJ,638,2,1
SA,1290,2,1
KH,37329,2,1
CY,140,2,1
HN,180988,1,1
ML,1075,1,1
WS,5074,1,1
UM,180,1,1
HT,72,1,1
PG,72,1,1
SR,60163,1,1
BY,35322,1,1
FO,9,1,1
JO,21463303,1,1
XK,380448,1,1
BN,2802,1,1
MU,3403810,1,1
AZ,1205,1,1
