MX	111928301319	6652	1161
US	61507602464	6362	1091
BR	51020267955	3719	456
GB	28454508131	3238	531
CN	27429150083	2684	281
ES	11589296293	2345	429
CO	44338804765	2030	383
DK	1011960197	1923	40
DE	3160164971	1280	154
CL	9716696850	1072	88
CA	7669823776	975	180
IN	8737426154	877	83
AU	3416182977	839	102
PE	8815895350	765	138
FR	4851535377	718	110
EC	9017671098	600	92
AR	6909556207	594	97
NZ	2176249422	472	51
IT	154196328	453	67
ZA	11896174043	429	129
PT	8206232232	415	99
CH	2969221451	406	29
BE	218766336	346	62
EG	1019085900	337	23
KW	2940	304	1
PY	611325	280	3
NO	2169209460	267	58
NL	1078988810	254	51
SE	3390316544	195	44
IR	2170383938	175	17
JP	5144020236	157	30
PK	1673577	152	7
CZ	1031848004	147	20
PH	7568038474	147	35
BJ	4091283033	143	32
TW	2280901342	133	34
PL	76926808	132	32
RU	2931901634	115	37
FI	1179597149	94	14
KR	3043879836	81	28
DZ	60643785	81	3
GT	1944761295	71	35
NP	1953550058	70	12
VE	2028590755	65	17
CR	2866335585	64	26
IE	15223078	63	14
SZ	25405768	59	3
AT	5872291	54	16
BN	152391	54	4
TH	237323	50	7
ID	4148592	49	18
TR	1872280862	49	20
CI	4695067	37	3
MZ	2502801	37	5
GR	1877167232	36	15
MG	992905965	31	11
HK	13435987	29	14
LK	6231321	27	6
LT	1446155	25	6
UA	865536	25	6
CU	101429	24	5
RS	385811	24	4
IL	486136	23	8
KE	1032256062	23	13
TD	968428781	22	1
BO	3941258	22	11
UG	4562625	21	8
HU	204959	21	11
HT	15552485	20	1
TN	23520498	17	7
AL	35925	16	3
MW	3815631	16	6
TZ	984137472	15	8
HR	212724	15	4
SG	173252	15	9
BW	24303744	15	4
VN	5217615	14	9
EE	586453054	14	6
RO	230157	13	5
BG	986708668	13	6
MY	7101329	13	9
AE	1241443	13	3
SK	85177	13	4
ZW	477423	12	2
TG	454471	12	4
LU	54894612	12	8
MA	3109076	11	5
MN	419754	11	3
UY	282320	11	6
ZM	58484	10	2
CM	976927739	10	7
SN	479	9	2
GH	201768	9	5
NC	965403804	8	3
AO	95295	8	3
MU	254915	7	1
TT	982207652	7	2
NG	5643730	7	4
IS	44281	7	3
SI	890086928	6	3
PA	5789212	6	2
NA	7128	5	1
RW	736324	5	1
BF	18339	5	2
DO	879	5	1
ET	4984	5	5
HN	890158225	4	1
KG	30289	4	2
LB	1896	4	1
AF	968497897	4	1
GY	508	3	1
KZ	8128	3	2
PR	4440957	3	2
JM	32927	3	1
SA	400432	3	2
WS	1560445	3	2
GU	55681	2	1
GE	299	2	1
CV	21411	2	1
GN	2579	2	1
VU	68	2	1
WF	3912	2	1
MQ	42	2	1
CD	13030	2	1
UM	1851	2	1
GF	2604	2	2
LA	4	1	1
SR	280	1	1
CY	760	1	1
SD	28588	1	1
SV	38908	1	1
LY	8189	1	1
BA	32698	1	1
ME	18208	1	1
MT	1189	1	1
MK	47682	1	1
