Count,Country
7431114,SE
4942291,US
4916051,NO
3185655,DE
2501220,CA
2248474,JP
2022611,BE
1578147,AU
1186336,FR
999976,KR
883334,GB
861133,ZA
640547,TW
567261,DK
544746,NL
449698,BR
324117,ES
315715,NZ
209030,CO
168238,LU
121597,VE
113145,SK
93188,NC
90563,AT
78848,
65660,IE
61441,EE
34497,IT
34480,RU
33422,TZ
25396,TG
23427,CM
14911,UG
14079,MG
11488,AR
11036,CI
10965,ZW
8189,TT
7607,WS
6533,KE
4973,CD
4853,BW
4069,PT
3673,BJ
3460,CL
958,BG
718,BB
521,TH
495,UZ
451,RW
365,SR
345,SB
243,GR
139,TO
132,VU
128,WF
100,SN
51,PG
25,UA
23,HU
16,PW
14,FM
6,MX
