Count,Country
357287601,US
79465564,SE
78257773,GB
71421846,AU
42357408,FR
36003704,DE
35908653,CA
28227720,NL
27563583,DK
27229386,NO
26102351,ES
25380998,FI
21182793,BE
20751733,ZA
9803984,MX
8501970,BR
7097593,CO
6559037,CR
5933001,JP
4715835,IN
4245374,NZ
4186505,
3651758,AT
2760138,TW
2756164,EE
2572464,KR
2561337,AR
2460139,PT
1958246,CH
1760073,PL
1747583,LU
1477700,EC
1349589,CN
1346545,RU
1310968,IE
1298430,PE
1178851,PA
979729,IL
881486,CL
817101,BZ
750495,IS
717502,HN
697177,VE
671807,TR
535433,KE
503195,PR
495433,GT
457754,MY
431958,AE
400635,IT
386089,TH
368467,NI
338203,BJ
288835,TZ
277261,SI
259054,TT
246039,CU
235565,SK
228999,PY
220235,UG
203821,BO
190488,SV
180257,HU
167451,BS
167398,GR
164315,RS
159504,GH
147420,ID
145702,JM
135732,HK
128175,KW
127091,KH
126934,PH
122668,NA
120139,MG
111668,AD
111452,BM
110704,BW
108574,PG
103898,DO
101524,ET
101008,BG
96650,LK
93740,UY
88334,GP
85883,VN
85272,IR
84729,MA
78397,SG
76835,ZW
74452,NP
72800,NC
69864,GY
64679,GM
61181,CM
55337,OM
53156,VI
51295,BT
51228,UA
50525,KY
46486,ZM
45652,CI
39789,HR
39292,CD
36563,CZ
33611,MZ
33441,EG
33082,AW
31958,IM
30671,MM
28876,MW
28153,SN
26486,FJ
26110,SA
25634,KZ
25482,BF
25137,BQ
24452,TG
23925,SR
22827,VU
21971,RO
21707,BB
19511,RW
19215,HT
19099,AQ
18261,MK
17618,MS
17455,CY
17366,AO
17196,QA
16743,JE
16252,MN
15913,LY
15303,LC
14404,PW
14065,FK
13932,LV
13222,MF
12696,TC
11868,DM
11814,GS
11681,TL
10790,GA
10577,CW
10558,NG
9625,VG
9393,GN
9364,DZ
9341,GD
9290,LT
9194,GQ
8812,SJ
8086,TN
7792,LR
7776,AG
7650,MP
7567,UZ
7525,IQ
7489,SB
7313,JO
7306,FO
7228,UM
7097,SZ
6647,WS
6475,AF
6283,SC
6281,NF
6003,LA
5931,AI
5566,BY
5427,CV
5295,MR
5042,SX
5033,GF
4992,VC
4865,ME
4814,PF
4568,KN
4567,ST
4518,GU
4322,MD
4318,BA
4306,GE
4166,LS
4146,DJ
3911,MU
3633,SL
3604,PK
3595,MQ
3555,IO
3516,PS
3498,BH
3145,GG
3032,CF
3007,TO
2860,NE
2838,AZ
2772,TF
2742,EH
2289,AM
2274,TD
2200,CG
2146,CX
2120,BN
1952,ML
1883,SD
1872,KG
1868,GL
1760,MH
1731,SO
1644,AS
1610,AL
1584,CK
1520,RE
1469,GI
1446,SS
1417,FM
1407,BD
1285,YE
1233,MT
1210,GW
1111,CC
1092,SY
1087,ZZ
1019,BI
962,TM
956,PM
915,LB
879,KI
769,SH
748,MC
670,MO
664,ER
594,BL
466,VA
457,LI
434,KP
365,KM
312,TJ
245,WF
199,YT
193,MV
115,PN
98,NU
91,HM
77,SM
29,BV
20,TK
6,NR
6,TV
